Fecha,Provincia,Diario,Acumulado
15/03/2020,Entre Ríos,0,0
15/03/2020,Formosa,0,0
15/03/2020,Jujuy,0,0
15/03/2020,La Pampa,0,0
15/03/2020,La Rioja,0,0
15/03/2020,Mendoza,0,0
15/03/2020,Misiones,0,0
15/03/2020,Neuquén,0,0
15/03/2020,Río Negro,0,1
15/03/2020,Salta,0,0
15/03/2020,San Juan,0,0
15/03/2020,San Luis,0,1
15/03/2020,Santa Cruz,0,0
15/03/2020,Santa Fe,0,1
15/03/2020,Santiago del Estero,0,0
15/03/2020,Tierra del Fuego,2,2
15/03/2020,Tucumán,0,0
16/03/2020,Buenos Aires,1,8
16/03/2020,Ciudad de Buenos Aires,5,29
16/03/2020,Catamarca,0,0
16/03/2020,Chaco,3,9
16/03/2020,Chubut,0,0
16/03/2020,Córdoba,0,1
16/03/2020,Corrientes,0,0
16/03/2020,Entre Ríos,0,0
16/03/2020,Formosa,0,0
16/03/2020,Jujuy,0,0
16/03/2020,La Pampa,0,0
16/03/2020,La Rioja,0,0
16/03/2020,Mendoza,0,0
16/03/2020,Misiones,0,0
16/03/2020,Neuquén,0,0
16/03/2020,Río Negro,0,1
16/03/2020,Salta,0,0
16/03/2020,San Juan,0,0
16/03/2020,San Luis,0,1
16/03/2020,Santa Cruz,0,0
16/03/2020,Santa Fe,0,1
16/03/2020,Santiago del Estero,0,0
16/03/2020,Tierra del Fuego,0,2
16/03/2020,Tucumán,0,0
17/03/2020,Buenos Aires,2,9
17/03/2020,Ciudad de Buenos Aires,4,28
17/03/2020,Catamarca,0,0
17/03/2020,Chaco,1,7
17/03/2020,Chubut,0,0
17/03/2020,Córdoba,2,3
17/03/2020,Corrientes,0,0
17/03/2020,Entre Ríos,1,1
17/03/2020,Formosa,0,0
17/03/2020,Jujuy,1,1
17/03/2020,La Pampa,0,0
17/03/2020,La Rioja,0,0
17/03/2020,Mendoza,0,0
17/03/2020,Misiones,0,0
17/03/2020,Neuquén,0,0
17/03/2020,Río Negro,1,2
17/03/2020,Salta,1,1
17/03/2020,San Juan,0,0
17/03/2020,San Luis,0,1
17/03/2020,Santa Cruz,1,1
17/03/2020,Santa Fe,0,1
17/03/2020,Santiago del Estero,0,0
17/03/2020,Tierra del Fuego,0,2
17/03/2020,Tucumán,0,0
18/03/2020,Buenos Aires,6,15
18/03/2020,Ciudad de Buenos Aires,10,38
18/03/2020,Catamarca,0,0
18/03/2020,Chaco,1,8
18/03/2020,Chubut,0,0
18/03/2020,Córdoba,1,4
18/03/2020,Corrientes,0,0
18/03/2020,Entre Ríos,1,2
18/03/2020,Formosa,0,0
18/03/2020,Jujuy,0,1
18/03/2020,La Pampa,0,0
18/03/2020,La Rioja,0,0
18/03/2020,Mendoza,0,0
18/03/2020,Misiones,0,0
18/03/2020,Neuquén,0,0
18/03/2020,Río Negro,0,2
18/03/2020,Salta,0,1
18/03/2020,San Juan,0,0
18/03/2020,San Luis,0,1
18/03/2020,Santa Cruz,0,1
18/03/2020,Santa Fe,0,1
18/03/2020,Santiago del Estero,0,0
18/03/2020,Tierra del Fuego,0,2
18/03/2020,Tucumán,0,0
19/03/2020,Buenos Aires,15,30
19/03/2020,Ciudad de Buenos Aires,8,46
19/03/2020,Catamarca,0,0
19/03/2020,Chaco,2,10
19/03/2020,Chubut,0,0
